"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-11",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"60",",,0","33",",,0","44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-12",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"67",",,0","34",",,0","55",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-13",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"68",",,0","39",",,0","49",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-14",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"74",",,0","44",",,0","67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-15",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"71",",,0","45",",,0","61",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-16",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"78",",,0","47",",,0","63",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-17",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"77",",,0","46",",,0","69",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-18",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"75",",,0","43",",,0","43",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-19",,,,,,,,,,,,,,,,,,,,,"0.05",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","40",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-20",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"67",",,0","39",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-21",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"75",",,0","44",",,0","45",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-22",,,,,,,,,,,,,,,,,,,,,"0.06",",,0","0.0",",,0","0.0",",,0",,,"73",",,0","57",",I,0","53",",I,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-23",,,,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0",",,0","0.0",",,0",,,"77",",,0","56",",,0","63",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-24",,,,,,,,,,,,,,,,,,,,,"0.30",",,0","0.0",",,0","0.0",",,0",,,"63",",,0","46",",,0","46",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-25",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","43",",,0","48",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-26",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"69",",,0","30",",,0","44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-27",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"59",",,0","41",",,0","54",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-28",,,,,,,,,,,,,,,,,,,,,"0.32",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","37",",,0","41",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-29",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,,,"23",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-30",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"46",",,0",,,"36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-10-31",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-01",,,,,,,,,,,,,,,,,,,,,"0.23",",,0","0.0",",,0","0.0",",,0",,,"46",",,0","32",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-02",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-03",,,,,,,,,,,,,,,,,,,,,,,,,"0.0",",,0",,,"31",",,0","19",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-04",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"32",",,0","19",",,0","23",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-05",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"32",",,0","18",",,0","22",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-06",,,,,,,,,,,,,,,,,,,,,"0.62",",,0","0.0",",,0","0.0",",,0",,,"36",",,0","21",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-07",,,,,,,,,,,,,,,,,,,,,"0.95",",,0","0.0",",,0","0.0",",,0",,,"43",",,0","29",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-08",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"38",",,0","26",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-09",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"50",",,0","23",",,0","42",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-10",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"60",",,0","34",",,0","53",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-11",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"57",",,0","33",",,0","45",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-12",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","35",",,0","52",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-13",,,,,,,,,,,,,,,,,,,,,"0.40",",,0","0.0",",,0","0.0",",,0",,,"67",",,0","49",",,0","66",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-14",,,,,,,,,,,,,,,,,,,,,"1.39",",,0","0.0",",,0","0.0",",,0",,,"68",",,0","46",",,0","47",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-15",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"60",",,0","38",",,0","52",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-16",,,,,,,,,,,,,,,,,,,,,"0.33",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","34",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-17",,,,,,,,,,,,,,,,,,,,,"0.02",",,0",,,"0.0",",,0",,,"38",",,0","26",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-18",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"31",",,0","22",",,0","23",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-19",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"28",",,0","16",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-20",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"32",",,0","12",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-21",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"46",",,0","19",",,0","41",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-22",,,,,,,,,,,,,,,,,,,,,"0.05",",,0","0.0",",,0","0.0",",,0",,,"48",",,0","38",",,0","47",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-23",,,,,,,,,,,,,,,,,,,,,"0.90",",,0","0.0",",,0","0.0",",,0",,,,,"39",",,0","51",",I,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-24",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"39",",I,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-25",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"35",",,0","19",",,0","34",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-26",,,,,,,,,,,,,,,,,,,,,"0.35",",,0","0.0",",,0","0.0",",,0",,,"42",",,0","31",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-27",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"33",",,0","25",",,0","27",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-28",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"41",",,0","21",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-29",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-11-30",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","24",",,0","44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-01",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"56",",,0","31",",,0","42",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-02",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"58",",,0","36",",,0","44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-03",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"63",",,0","37",",,0","57",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-04",,,,,,,,,,,,,,,,,,,,,,,"0.0",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-05",,,,,,,,,,,,,,,,,,,,,"0.23",",,0","0.0",",,0","0.0",",,0",,,"45",",,0","28",",,0","44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-06",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"62",",,0","42",",,0","60",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-07",,,,,,,,,,,,,,,,,,,,,"0.66",",,0","0.0",",,0","0.0",",,0",,,"63",",,0","53",",,0","54",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-08",,,,,,,,,,,,,,,,,,,,,"0.20",",,0","0.0",",,0","0.0",",,0",,,"54",",,0","40",",,0","40",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-09",,,,,,,,,,,,,,,,,,,,,"0.50",",,0","0.0",",,0","0.0",",,0",,,"42",",,0","32",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-10",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"37",",,0","29",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-11",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"35",",,0","27",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-12",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"34",",,0","19",",,0","22",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-13",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"25",",,0","15",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-14",,,,,,,,,,,,,,,,,,,,,,,,,"5.0",",,0",,,"29",",,0","12",",,0","28",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-15",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"30",",,0","4",",,0","4",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-16",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"6",",,0","-15",",,0","0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-17",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"20",",,0","-8",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33",",,0","0",",,0","18",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-19",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-20",,,,,,,,,,,,,,,,,,,,,"0.40",",,0",,,,,,,"36",",,0","17",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-21",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"42",",,0","19",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-22",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"22",",,0","7",",,0","19",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-23",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"40",",,0","12",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-24",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-25",,,,,,,,,,,,,,,,,,,,,"0.62",",,0","0.0",",,0",,,,,"38",",,0","15",",,0","37",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-26",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"38",",,0","24",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-27",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"26",",,0","10",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00339332","WORTHINGTON 5 N, OH US","40.16667","-83.01667","289.9","1951-12-28",,,,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0",,,,,"35",",,0","13",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
