"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAEV","DAEV_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FRGB","FRGB_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-11",,,,,,,,,,,,,,,,,,,"0.27",",,0","2.1",",,0","4.0",",,0",,,"38",",,0","30",",,0","38",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-12",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0",",,0","1.0",",,0",,,"38",",,0","32",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-13",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","1.0",",,0",,,"40",",,0","31",",,0","38",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-14",,,,,,,,,,,,,,,,,,,"0.76",",,0","0.0","T,,0","0.0",",,0",,,"50",",,0","31",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-15",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"34",",,0","24",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-16",,,,,,,,,,,,,,,,,,,"0.11",",,0","2.2",",,0","2.0",",,0",,,"28",",,0","14",",,0","20",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-17",,,,,,,,,,,,,,,,,,,"0.12",",,0","2.3",",,0","2.0",",,0",,,"20",",,0","12",",,0","13",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-18",,,,,,,,,,,,,,,,,,,"0.02",",,0","0.4",",,0","2.0",",,0",,,"14",",,0","0",",,0","1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-19",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","2.0",",,0",,,"1",",,0","-11",",,0","0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-20",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","2.0",",,0",,,"17",",,0","0",",,0","17",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-21",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","2.0",",,0",,,"19",",,0","7",",,0","18",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-22",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","2.0",",,0",,,"26",",,0","9",",,0","21",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-23",,,,,,,,,,,,,,,,,,,"0.06",",,0","1.1",",,0","3.0",",,0",,,"26",",,0","11",",,0","24",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-24",,,,,,,,,,,,,,,,,,,"0.06",",,0","1.0",",,0","4.0",",,0",,,"24",",,0","17",",,0","17",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-25",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","4.0",",,0",,,"17",",,0","0",",,0","9",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-26",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","3.0",",,0",,,"12",",,0","-2",",,0","11",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-27",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.1",",,0","3.0",",,0",,,"21",",,0","9",",,0","14",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-28",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","3.0",",,0",,,"22",",,0","1",",,0","17",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-29",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.1",",,0","3.0",",,0",,,"31",",,0","11",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-30",,,,,,,,,,,,,,,,,,,"0.02",",,0","0.3",",,0","2.0",",,0",,,"34",",,0","26",",,0","29",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-01-31",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","2.0",",,0",,,"33",",,0","7",",,0","31",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-01",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","2.0",",,0",,,"37",",,0","19",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-02",,,,,,,,,,,,,,,,,,,"0.02",",,0","0.2",",,0","2.0",",,0",,,"36",",,0","11",",,0","16",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-03",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","1.0",",,0",,,"38",",,0","11",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-04",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"37",",,0","26",",,0","37",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-05",,,,,,,,,,,,,,,,,,,"0.04",",,0","0.2",",,0","0.0","T,,0",,,"37",",,0","33",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-06",,,,,,,,,,,,,,,,,,,"0.71",",,0","0.0","T,,0","0.0","T,,0",,,"40",",,0","34",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-07",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"36",",,0","27",",,0","29",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-08",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0","T,,0",,,"43",",,0","28",",,0","41",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-09",,,,,,,,,,,,,,,,,,,"0.10",",,0","0.0",",,0","0.0","T,,0",,,"45",",,0","38",",,0","43",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-10",,,,,,,,,,,,,,,,,,,"0.70",",,0","0.0",",,0","0.0","T,,0",,,"43",",,0","33",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-11",,,,,,,,,,,,,,,,,,,"0.10",",,0","0.6",",,0","0.0","T,,0",,,"41",",,0","22",",,0","37",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-12",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"55",",,0","35",",,0","39",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-13",,,,,,,,,,,,,,,,,,,"0.04",",,0","0.5",",,0","1.0",",,0",,,"40",",,0","25",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-14",,,,,,,,,,,,,,,,,,,"0.32",",,0","5.5",",,0","5.0",",,0",,,"29",",,0","20",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-15",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","3.0",",,0",,,"34",",,0","9",",,0","28",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-16",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","1.0",",,0",,,"39",",,0","16",",,0","34",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-17",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0","T,,0",,,"46",",,0","22",",,0","40",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-18",,,,,,,,,,,,,,,,,,,"0.60",",,0","0.0",",,0","0.0","T,,0",,,"40",",,0","35",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-19",,,,,,,,,,,,,,,,,,,"0.04",",,0","0.0",",,0","0.0","T,,0",,,"41",",,0","35",",,0","38",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-20",,,,,,,,,,,,,,,,,,,"0.11",",,0","0.0","T,,0","0.0","T,,0",,,"38",",,0","33",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-21",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0","T,,0",,,"35",",,0","25",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-22",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"36",",,0","26",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-23",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0",",,0",,,"36",",,0","24",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-24",,,,,,,,,,,,,,,,,,,"0.08",",,0","0.5",",,0","0.0",",,0",,,"37",",,0","32",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-25",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0",",,0",,,"36",",,0","17",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-26",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"29",",,0","17",",,0","29",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-27",,,,,,,,,,,,,,,,,,,"0.60",",,0","5.0",",,0","3.0",",,0",,,"37",",,0","28",",,0","37",",,0",,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-28",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0",",,0","1.0",",,0",,,"37",",,0","34",",,0","34",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-02-29",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"38",",,0","33",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-01",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0","T,,0",,,"47",",,0","30",",,0","41",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-02",,,,,,,,,,,,,,,,,,,"0.23",",,0","0.0",",,0","0.0",",,0",,,"49",",,0","34",",,0","47",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-03",,,,,,,,,,,,,,,,,,,"1.16",",,0","0.0",",,0","0.0",",,0",,,"58",",,0","44",",,0","53",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-04",,,,,,,,,,,,,,,,,,,"0.11",",,0","0.0",",,0","0.0",",,0",,,"53",",,0","34",",,0","37",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-05",,,,,,,,,,,,,,,,,,,"0.01",",,0","0.0","T,,0","0.0",",,0",,,"37",",,0","31",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-06",,,,,,,,,,,,,,,,,,,"0.01",",,0","0.0","T,,0","0.0",",,0",,,"36",",,0","31",",,0","34",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-07",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"38",",,0","27",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-08",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0",",,0",,,"35",",,0","28",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-09",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"42",",,0","30",",,0","35",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-10",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"37",",,0","25",",,0","33",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-11",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"36",",,0","21",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-12",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"43",",,0","18",",,0","41",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-13",,,,,,,,,,,,,,,,,,,"0.16",",,0","0.0",",,0","0.0",",,0",,,"54",",,0","33",",,0","50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-14",,,,,,,,,,,,,,,,,,,"0.29",",,0","2.5",",,0","1.0",",,0",,,"50",",,0","29",",,0","29",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-15",,,,,,,,,,,,,,,,,,,"0.01",",,0","0.2",",,0","0.0","T,,0",,,"31",",,0","22",",,0","31",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-16",,,,,,,,,,,,,,,,,,,"0.05",",,0","1.1",",,0","0.0",",,0",,,"42",",,0","30",",,0","38",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-17",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"68",",,0","34",",,0","63",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-18",,,,,,,,,,,,,,,,,,,"0.29",",,0","0.0",",,0","0.0",",,0",,,"65",",,0","44",",,0","45",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-19",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"52",",,0","30",",,0","46",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-20",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"46",",,0","32",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-21",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0",",,0","0.0",",,0",,,"45",",,0","27",",,0","38",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-22",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"38",",,0","21",",,0","25",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-23",,,,,,,,,,,,,,,,,,,"0.00","T,,0","0.0","T,,0","0.0","T,,0",,,"26",",,0","14",",,0","21",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-24",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"25",",,0","13",",,0","22",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-25",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"30",",,0","13",",,0","26",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-26",,,,,,,,,,,,,,,,,,,"0.00",",,0","0.0",",,0","0.0",",,0",,,"38",",,0","17",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-27",,,,,,,,,,,,,,,,,,,"0.04",",,0","0.0","T,,0","0.0",",,0",,,"51",",,0","35",",,0","48",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-28",,,,,,,,,,,,,,,,,,,"0.09",",,0","0.0",",,0","0.0",",,0",,,"67",",,0","42",",,0","64",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-29",,,,,,,,,,,,,,,,,,,"0.08",",,0","0.0",",,0","0.0",",,0",,,"72",",,0","55",",,0","67",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00331778","COLUMBUS OHIO STATE, OH US","40.0","-83.01667","232.0","1940-03-30",,,,,,,,,,,,,,,,,,,"0.41",",,0","0.0",",,0","0.0",",,0",,,"67",",,0","47",",,0","49",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
