"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-20",,,,,,,,,"0.36",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-22",,,"    2",",,N","0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-23",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-24",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-25",,,,,,,,,"0.64",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-27",,,,,,,,,"1.08",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-28",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-29",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-07-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-02",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-03",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-06",,,,,,,,,"0.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-07",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-08",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-09",,,,,,,,,"0.17",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-10",,,,,,,,,"1.14",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-11",,,,,,,,,"0.18",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-12",,,,,,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-13",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-14",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-16",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-17",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-18",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-19",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-20",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-21",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-22",,,,,,,,,"0.08",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-23",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-24",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-27",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-28",,,,,,,,,"0.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-29",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-08-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-01",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-02",,,,,,,,,"0.09",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-03",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-04",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-05",,,,,,,,,"0.45",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-07",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-08",,,,,,,,,"0.78",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-09",,,,,,,,,"0.23",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-17",,,"    8",",,N","0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-18",,,,,,,,,"0.29",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-19",,,,,,,,,"0.13",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-20",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-21",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-22",,,,,,,,,"1.23",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-23",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-24",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-25",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-26",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-27",,,,,,,,,"0.42",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-28",,,,,,,,,"0.29",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-29",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-09-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-05",,,"    5",",,N","0.37",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-06",,,,,,,,,"0.68",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-07",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-08",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-09",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-11",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-12",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-13",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-14",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-15",,,,,,,,,"0.31",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-16",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-17",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-18",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-19",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-20",,,,,,,,,"0.34",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-21",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-22",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-23",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-24",,,,,,,,,"0.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","40.03444","-83.17678","287.7","2012-10-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
